Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
Applying symmetry-breaking perturbation (amplitude=0.05)...
Done.

Running Pinball Re=100 for 150000 steps (t=1500s)
  PNGs    -> snapshots/ every 500 steps
  Scalars -> pinball_timeseries.h5

  t=  275.0s | CD1=0.9614 | CL2=0.11535 | CL2_std(500)=0.0013 | reward=-0.03546
  t=  280.0s | CD1=0.9626 | CL2=0.11989 | CL2_std(500)=0.0019 | reward=-0.03557
  t=  285.0s | CD1=0.9640 | CL2=0.11209 | CL2_std(500)=0.0030 | reward=-0.03562
  t=  290.0s | CD1=0.9663 | CL2=0.12169 | CL2_std(500)=0.0039 | reward=-0.03583
  t=  295.0s | CD1=0.9686 | CL2=0.11031 | CL2_std(500)=0.0047 | reward=-0.03593
  t=  300.0s | CD1=0.9712 | CL2=0.12032 | CL2_std(500)=0.0051 | reward=-0.03619
  t=  305.0s | CD1=0.9732 | CL2=0.11234 | CL2_std(500)=0.0049 | reward=-0.03626
  t=  310.0s | CD1=0.9750 | CL2=0.11388 | CL2_std(500)=0.0052 | reward=-0.03646
  t=  315.0s | CD1=0.9768 | CL2=0.11977 | CL2_std(500)=0.0053 | reward=-0.03654
  t=  320.0s | CD1=0.9779 | CL2=0.10463 | CL2_std(500)=0.0082 | reward=-0.03664
  t=  325.0s | CD1=0.9792 | CL2=0.13004 | CL2_std(500)=0.0099 | reward=-0.03675
  t=  330.0s | CD1=0.9802 | CL2=0.09823 | CL2_std(500)=0.0126 | reward=-0.03676
  t=  335.0s | CD1=0.9805 | CL2=0.13265 | CL2_std(500)=0.0137 | reward=-0.03689
  t=  340.0s | CD1=0.9818 | CL2=0.09863 | CL2_std(500)=0.0119 | reward=-0.03683
  t=  345.0s | CD1=0.9813 | CL2=0.12036 | CL2_std(500)=0.0117 | reward=-0.03695
  t=  350.0s | CD1=0.9822 | CL2=0.10708 | CL2_std(500)=0.0059 | reward=-0.03689
  t=  355.0s | CD1=0.9819 | CL2=0.10356 | CL2_std(500)=0.0086 | reward=-0.03695
  t=  360.0s | CD1=0.9817 | CL2=0.12072 | CL2_std(500)=0.0065 | reward=-0.03690
  t=  365.0s | CD1=0.9820 | CL2=0.09727 | CL2_std(500)=0.0121 | reward=-0.03690
  t=  370.0s | CD1=0.9808 | CL2=0.12930 | CL2_std(500)=0.0105 | reward=-0.03690
  t=  375.0s | CD1=0.9815 | CL2=0.10053 | CL2_std(500)=0.0122 | reward=-0.03683
  t=  380.0s | CD1=0.9805 | CL2=0.12479 | CL2_std(500)=0.0099 | reward=-0.03689
  t=  385.0s | CD1=0.9807 | CL2=0.10626 | CL2_std(500)=0.0076 | reward=-0.03679
  t=  390.0s | CD1=0.9806 | CL2=0.11214 | CL2_std(500)=0.0071 | reward=-0.03688
  t=  395.0s | CD1=0.9802 | CL2=0.11372 | CL2_std(500)=0.0045 | reward=-0.03678
  t=  400.0s | CD1=0.9808 | CL2=0.10195 | CL2_std(500)=0.0083 | reward=-0.03686
  t=  405.0s | CD1=0.9801 | CL2=0.12357 | CL2_std(500)=0.0075 | reward=-0.03680
  t=  410.0s | CD1=0.9810 | CL2=0.09832 | CL2_std(500)=0.0119 | reward=-0.03683
  t=  415.0s | CD1=0.9802 | CL2=0.13102 | CL2_std(500)=0.0110 | reward=-0.03685
  t=  420.0s | CD1=0.9812 | CL2=0.09922 | CL2_std(500)=0.0127 | reward=-0.03681
  t=  425.0s | CD1=0.9805 | CL2=0.12787 | CL2_std(500)=0.0117 | reward=-0.03690
  t=  430.0s | CD1=0.9814 | CL2=0.10320 | CL2_std(500)=0.0091 | reward=-0.03682
  t=  435.0s | CD1=0.9810 | CL2=0.11419 | CL2_std(500)=0.0088 | reward=-0.03692
  t=  440.0s | CD1=0.9813 | CL2=0.11182 | CL2_std(500)=0.0045 | reward=-0.03684
  t=  445.0s | CD1=0.9815 | CL2=0.10131 | CL2_std(500)=0.0089 | reward=-0.03691
  t=  450.0s | CD1=0.9810 | CL2=0.12375 | CL2_std(500)=0.0077 | reward=-0.03687
  t=  455.0s | CD1=0.9816 | CL2=0.09762 | CL2_std(500)=0.0125 | reward=-0.03687
  t=  460.0s | CD1=0.9806 | CL2=0.13045 | CL2_std(500)=0.0110 | reward=-0.03689
  t=  465.0s | CD1=0.9814 | CL2=0.10048 | CL2_std(500)=0.0121 | reward=-0.03683
  t=  470.0s | CD1=0.9806 | CL2=0.12449 | CL2_std(500)=0.0104 | reward=-0.03690
  t=  475.0s | CD1=0.9810 | CL2=0.10593 | CL2_std(500)=0.0074 | reward=-0.03680
  t=  480.0s | CD1=0.9809 | CL2=0.11070 | CL2_std(500)=0.0075 | reward=-0.03690
  t=  485.0s | CD1=0.9807 | CL2=0.11456 | CL2_std(500)=0.0046 | reward=-0.03681
  t=  490.0s | CD1=0.9812 | CL2=0.10043 | CL2_std(500)=0.0091 | reward=-0.03688
  t=  495.0s | CD1=0.9804 | CL2=0.12530 | CL2_std(500)=0.0083 | reward=-0.03684
  t=  500.0s | CD1=0.9813 | CL2=0.09804 | CL2_std(500)=0.0125 | reward=-0.03684
  t=  505.0s | CD1=0.9803 | CL2=0.13093 | CL2_std(500)=0.0113 | reward=-0.03687
  t=  510.0s | CD1=0.9813 | CL2=0.10036 | CL2_std(500)=0.0120 | reward=-0.03681
  t=  515.0s | CD1=0.9806 | CL2=0.12459 | CL2_std(500)=0.0107 | reward=-0.03690
  t=  520.0s | CD1=0.9812 | CL2=0.10547 | CL2_std(500)=0.0074 | reward=-0.03681
  t=  525.0s | CD1=0.9810 | CL2=0.11040 | CL2_std(500)=0.0079 | reward=-0.03691
  t=  530.0s | CD1=0.9810 | CL2=0.11477 | CL2_std(500)=0.0046 | reward=-0.03683
  t=  535.0s | CD1=0.9814 | CL2=0.09986 | CL2_std(500)=0.0096 | reward=-0.03689
  t=  540.0s | CD1=0.9807 | CL2=0.12606 | CL2_std(500)=0.0086 | reward=-0.03686
  t=  545.0s | CD1=0.9815 | CL2=0.09794 | CL2_std(500)=0.0128 | reward=-0.03685
  t=  550.0s | CD1=0.9805 | CL2=0.13062 | CL2_std(500)=0.0114 | reward=-0.03689
  t=  555.0s | CD1=0.9813 | CL2=0.10106 | CL2_std(500)=0.0116 | reward=-0.03682
  t=  560.0s | CD1=0.9806 | CL2=0.12255 | CL2_std(500)=0.0101 | reward=-0.03690
  t=  565.0s | CD1=0.9811 | CL2=0.10687 | CL2_std(500)=0.0066 | reward=-0.03681
  t=  570.0s | CD1=0.9810 | CL2=0.10836 | CL2_std(500)=0.0075 | reward=-0.03690
  t=  575.0s | CD1=0.9808 | CL2=0.11643 | CL2_std(500)=0.0050 | reward=-0.03682
  t=  580.0s | CD1=0.9813 | CL2=0.09927 | CL2_std(500)=0.0100 | reward=-0.03688
  t=  585.0s | CD1=0.9805 | CL2=0.12712 | CL2_std(500)=0.0091 | reward=-0.03685
  t=  590.0s | CD1=0.9814 | CL2=0.09822 | CL2_std(500)=0.0128 | reward=-0.03684
  t=  595.0s | CD1=0.9804 | CL2=0.13050 | CL2_std(500)=0.0114 | reward=-0.03688
  t=  600.0s | CD1=0.9813 | CL2=0.10136 | CL2_std(500)=0.0112 | reward=-0.03681
  t=  605.0s | CD1=0.9806 | CL2=0.12158 | CL2_std(500)=0.0100 | reward=-0.03690
  t=  610.0s | CD1=0.9811 | CL2=0.10732 | CL2_std(500)=0.0062 | reward=-0.03681
  t=  615.0s | CD1=0.9811 | CL2=0.10738 | CL2_std(500)=0.0076 | reward=-0.03690
  t=  620.0s | CD1=0.9809 | CL2=0.11734 | CL2_std(500)=0.0053 | reward=-0.03683
  t=  625.0s | CD1=0.9814 | CL2=0.09883 | CL2_std(500)=0.0104 | reward=-0.03688
  t=  630.0s | CD1=0.9806 | CL2=0.12793 | CL2_std(500)=0.0095 | reward=-0.03686
  t=  635.0s | CD1=0.9814 | CL2=0.09835 | CL2_std(500)=0.0129 | reward=-0.03684
  t=  640.0s | CD1=0.9805 | CL2=0.13007 | CL2_std(500)=0.0115 | reward=-0.03689
  t=  645.0s | CD1=0.9813 | CL2=0.10191 | CL2_std(500)=0.0108 | reward=-0.03681
  t=  650.0s | CD1=0.9807 | CL2=0.11991 | CL2_std(500)=0.0096 | reward=-0.03691
  t=  655.0s | CD1=0.9811 | CL2=0.10836 | CL2_std(500)=0.0056 | reward=-0.03681
  t=  660.0s | CD1=0.9811 | CL2=0.10591 | CL2_std(500)=0.0076 | reward=-0.03690
  t=  665.0s | CD1=0.9808 | CL2=0.11867 | CL2_std(500)=0.0057 | reward=-0.03683
  t=  670.0s | CD1=0.9814 | CL2=0.09847 | CL2_std(500)=0.0108 | reward=-0.03687
  t=  675.0s | CD1=0.9805 | CL2=0.12871 | CL2_std(500)=0.0098 | reward=-0.03686
  t=  680.0s | CD1=0.9814 | CL2=0.09863 | CL2_std(500)=0.0129 | reward=-0.03683
  t=  685.0s | CD1=0.9804 | CL2=0.12956 | CL2_std(500)=0.0114 | reward=-0.03689
  t=  690.0s | CD1=0.9812 | CL2=0.10237 | CL2_std(500)=0.0103 | reward=-0.03681
  t=  695.0s | CD1=0.9807 | CL2=0.11856 | CL2_std(500)=0.0093 | reward=-0.03691
  t=  700.0s | CD1=0.9810 | CL2=0.10915 | CL2_std(500)=0.0052 | reward=-0.03681
  t=  705.0s | CD1=0.9812 | CL2=0.10484 | CL2_std(500)=0.0077 | reward=-0.03690
  t=  710.0s | CD1=0.9808 | CL2=0.11978 | CL2_std(500)=0.0061 | reward=-0.03684
  t=  715.0s | CD1=0.9814 | CL2=0.09819 | CL2_std(500)=0.0112 | reward=-0.03687
  t=  720.0s | CD1=0.9805 | CL2=0.12937 | CL2_std(500)=0.0102 | reward=-0.03687
  t=  725.0s | CD1=0.9814 | CL2=0.09888 | CL2_std(500)=0.0129 | reward=-0.03683
  t=  730.0s | CD1=0.9805 | CL2=0.12889 | CL2_std(500)=0.0114 | reward=-0.03689
  t=  735.0s | CD1=0.9812 | CL2=0.10292 | CL2_std(500)=0.0098 | reward=-0.03681
  t=  740.0s | CD1=0.9808 | CL2=0.11697 | CL2_std(500)=0.0089 | reward=-0.03691
  t=  745.0s | CD1=0.9810 | CL2=0.11015 | CL2_std(500)=0.0049 | reward=-0.03682
  t=  750.0s | CD1=0.9812 | CL2=0.10368 | CL2_std(500)=0.0079 | reward=-0.03690
  t=  755.0s | CD1=0.9807 | CL2=0.12101 | CL2_std(500)=0.0066 | reward=-0.03684
  t=  760.0s | CD1=0.9814 | CL2=0.09800 | CL2_std(500)=0.0116 | reward=-0.03686
  t=  765.0s | CD1=0.9805 | CL2=0.12990 | CL2_std(500)=0.0105 | reward=-0.03687
  t=  770.0s | CD1=0.9814 | CL2=0.09920 | CL2_std(500)=0.0128 | reward=-0.03683
  t=  775.0s | CD1=0.9805 | CL2=0.12809 | CL2_std(500)=0.0113 | reward=-0.03689
  t=  780.0s | CD1=0.9812 | CL2=0.10348 | CL2_std(500)=0.0093 | reward=-0.03681
  t=  785.0s | CD1=0.9808 | CL2=0.11549 | CL2_std(500)=0.0086 | reward=-0.03691
  t=  790.0s | CD1=0.9810 | CL2=0.11111 | CL2_std(500)=0.0046 | reward=-0.03682
  t=  795.0s | CD1=0.9812 | CL2=0.10270 | CL2_std(500)=0.0082 | reward=-0.03689
  t=  800.0s | CD1=0.9807 | CL2=0.12216 | CL2_std(500)=0.0070 | reward=-0.03684
  t=  805.0s | CD1=0.9814 | CL2=0.09788 | CL2_std(500)=0.0119 | reward=-0.03686
  t=  810.0s | CD1=0.9805 | CL2=0.13033 | CL2_std(500)=0.0107 | reward=-0.03687
  t=  815.0s | CD1=0.9814 | CL2=0.09952 | CL2_std(500)=0.0126 | reward=-0.03682
  t=  820.0s | CD1=0.9805 | CL2=0.12716 | CL2_std(500)=0.0111 | reward=-0.03690
