0.000000000000000000e+00 -7.499626403200349099e-04 -6.733235317175720880e+00 6.735341272691475645e+00 2.100000000000000000e+01
1.000000000000000056e-01 7.647599075343364727e-04 -1.052634385507265513e+00 1.052616465743067886e+00 2.539999999999999858e+01
2.000000000000000111e-01 3.155225402149634123e-04 -5.360007321918903722e-01 5.353868550004268201e-01 2.569999999999999929e+01
3.000000000000000444e-01 1.825765170576043822e-04 -2.474392396050485166e-01 2.471412038296722513e-01 2.989999999999999858e+01
4.000000000000000222e-01 2.126378869621852071e-04 -1.116062242583220655e-02 1.100247191750783338e-02 3.019999999999999929e+01
5.000000000000000000e-01 2.094425068762911346e-04 1.891906860504919408e-01 -1.892305337911006635e-01 3.019999999999999929e+01
6.000000000000000888e-01 2.010565948991767079e-04 3.509060410106048522e-01 -3.508983628490404683e-01 3.019999999999999929e+01
7.000000000000000666e-01 1.884845390447199322e-04 4.777918452282700623e-01 -4.777768203456294049e-01 3.019999999999999929e+01
8.000000000000000444e-01 1.752456269587559417e-04 5.756052815304162351e-01 -5.755951390280731328e-01 3.019999999999999929e+01
9.000000000000000222e-01 1.649593929784813032e-04 6.493173008617336706e-01 -6.493096434002069151e-01 3.019999999999999929e+01
