episode,elapsed_s,ep_reward,cd,drag_reduction_pct,f0,cd1,cd2,cd3,cl2,cl3,policy_loss,value_loss,entropy
1,365.8,20.242430629486513,3.520085465113322,0.9890754883408515,0.016666666666666666,0.9590577628215154,1.2793816524744033,1.2816460498174032,0.09965700933088859,-0.06681354934660097,-0.0439135218695016,0.015906166167221437,4.271337086046246
2,463.3,28.64738742013885,3.486731122136116,1.9272471229167198,0.016666666666666666,0.9536660691102345,1.2762141505877176,1.2568509024381638,0.06604661463028606,-0.1486847527946035,-0.06603497125897087,0.0598263076404814,4.285920599929425
3,559.9,29.411968742301042,3.483991739253203,2.0042988975161435,0.016666666666666666,0.9552674600481987,1.2788756150007248,1.2498486642042796,0.06835496051171504,-0.1552423634007573,-0.09483773743764298,0.052756154466970046,4.295789402039325
4,656.9,45.96147602964579,3.4471656646331152,3.040121388306971,0.016666666666666666,0.950741517941157,1.2685769426822662,1.227847204009692,0.12441618412733078,-0.21244919540981452,-0.08362138210019718,0.08633365015654514,4.3105021715164185
5,753.8,67.34183619331836,3.39600823700428,4.4790478732939505,0.016666666666666666,0.9446499752998352,1.2541214195887247,1.19723684211572,0.2037916439337035,-0.299347470998764,-0.07713594369658637,0.3227323110839096,4.329995277824752
6,846.8,71.41906556224666,3.403728827337424,4.26188758152366,0.016666666666666666,0.9455040034651756,1.2570091615120569,1.2012156623601913,0.23273419631024203,-0.31526186731954414,-0.07631927083005731,0.19433084557230554,4.340262123707975
7,943.9,95.89215232995001,3.354238276084264,5.653929133562874,0.016666666666666666,0.941991834839185,1.2423843652009965,1.1698620760440825,0.3173731653392315,-0.4014579258859158,-0.06401092850006698,0.27168975443987364,4.348484039306641
8,1043.2,139.26967435716003,3.248349635998408,8.632303452620892,0.016666666666666666,0.9283993291854858,1.1991602538029353,1.1207900530099868,0.48467006569107374,-0.4893494125207265,-0.021232326745986938,0.23188709083199502,4.353932872772217
9,1139.2,163.42825578537906,3.1686691298087437,10.873510565795819,0.016666666666666666,0.9166874927282334,1.1648995594183604,1.0870820776621501,0.5685001917680105,-0.529986110428969,-0.023540830451317808,0.33684560944410885,4.360128576105291
10,1237.4,189.3071927700501,3.09620900084575,12.911627091648148,0.016666666666666666,0.910196624994278,1.1352040513356527,1.0508083245158195,0.6622409403324128,-0.5963813588519891,-0.026488060005388017,0.3471209970697508,4.363561775724767
11,1330.8,192.48796968454445,3.0758712390065193,13.48367587346242,0.016666666666666666,0.9012186593810717,1.1146264006694158,1.060026178956032,0.7449127437671026,-0.5872421888510386,-0.03725105557233503,0.2511656329750198,4.36598479257871
12,1424.5,202.50175835863217,3.0703953463832536,13.637698608571958,0.016666666666666666,0.9043674555420875,1.1038919021685918,1.0621359886725743,0.7511903342604637,-0.6419444156686465,-0.009271934835447205,0.21708948437049233,4.368756852968775
13,1522.5,214.80234770190984,3.051451933483283,14.170527951274249,0.016666666666666666,0.9170484264691671,1.1140823177496593,1.0203211892644564,0.7157952346404394,-0.732499448955059,-0.0339727275030211,0.26555159399935674,4.3733613768289255
14,1614.5,207.49725613631267,3.0632219558954237,13.839467580127407,0.016666666666666666,0.9340786557396253,1.128405462304751,1.0007378378510474,0.6582281064987182,-0.8061420506238938,-0.02735797158357772,0.17011558056216347,4.376721516522494
15,1706.7,230.98272449032038,3.029000381131967,14.802032207934147,0.016666666666666666,0.9287950228651365,1.1170756340026855,0.9831297242641449,0.7617943149805069,-0.8435058778524399,-0.037017539896991816,0.24824081204329315,4.380266987875606
16,1798.8,231.96262147578824,3.0019028518597284,15.564215811660853,0.016666666666666666,0.9290349058310191,1.110352839032809,0.9625151069959005,0.7359750573833783,-0.916212586959203,-0.03149797405878251,0.19621363795277746,4.382134147123857
17,1891.9,237.65256554850438,3.0068777211507163,15.424285570561002,0.016666666666666666,0.926584728161494,1.110948225458463,0.9693447675307592,0.7700439350803693,-0.9107123853762945,-0.0395462089114719,0.24090364490532212,4.384325016869439
18,1984.0,244.59871944361603,2.9809622547030448,16.153220796016466,0.016666666666666666,0.9273939805229505,1.1054981950918834,0.9480700790882111,0.7888480575879415,-0.9937246898810069,-0.024709579363031295,0.15535964614268646,4.382164570891741
19,2077.7,256.042494188482,2.969414342045784,16.47803379266296,0.016666666666666666,0.9279491570591927,1.1079738769928615,0.9334913079937299,0.8370446004470189,-0.990133008857568,-0.009681090978639466,0.19705270491318688,4.378085442951748
20,2172.2,244.26360842667017,2.995632033745448,15.740597750421358,0.016666666666666666,0.942541478673617,1.118555520971616,0.9345350341002147,0.8002035759886106,-0.9986311435699463,-0.005751161576853585,0.11596690974745553,4.376943947113666
21,2264.8,245.45845994879616,2.956607902149359,16.838245914332916,0.016666666666666666,0.9605261772871018,1.1231541311740876,0.8729275936881701,0.8019395013650258,-1.0880351768930754,-0.005787741392850876,0.09405607401537217,4.376062288516906
22,2358.3,255.49468659081163,2.9472993449370066,17.100071618452585,0.03333333333333333,0.9543680320183436,1.1297227442264557,0.8632085686922073,0.8325664065281551,-1.0928671185175578,-0.008266131859272718,0.10969375530257822,4.380259722471237
23,2459.5,260.7132289582379,2.9552944877743723,16.875188872912528,0.016666666666666666,0.938108184337616,1.1295212664206822,0.8876650370160739,0.8578975212574005,-1.0802859155337017,-0.031156714379791055,0.0629516226896482,4.38201532807461
24,2557.0,259.78920285458923,2.966569170455138,16.55806113074214,0.016666666666666666,0.9418873568375905,1.133817679087321,0.8908641345302264,0.860845642387867,-1.0686743738253912,-0.008784229091058174,0.06657936521714516,4.374970202352486
25,2651.1,267.816721626294,2.949853787124157,17.028221748593474,0.016666666666666666,0.9457024010022481,1.1396331077814101,0.8645182783404987,0.8915366333723068,-1.105194901029269,-0.021103220447750374,0.11266098582729844,4.377451627561362
26,2753.3,273.592599017346,2.953529222706954,16.924841225977648,0.016666666666666666,0.9437455842892329,1.1429382195075353,0.8668454189101855,0.9216462635993957,-1.1074036614100138,-0.007476837263067267,0.07052640928261315,4.382332460204167
27,2854.6,272.1319743769661,2.953600839873155,16.92282681981998,0.016666666666666666,0.9493263655900955,1.1495147867997488,0.8547596874833107,0.9151458028952281,-1.1171130758523942,-0.006466305857404656,0.05686721985160006,4.384601063684586
